voice_id,engine,language,sent_chars,transcript_chars,last_checkpoint,total_checkpoints,coverage_pct,secs,status,detail
charon,gemini,English,4888,4305,28,32,87.5,150.4,TRUNCATED,
iapetus,gemini,English,4888,4759,32,32,100.0,191.5,OK,
erinome,gemini,English,4888,1707,6,32,18.8,76.5,TRUNCATED,
sadaltager,gemini,English,4888,1690,11,32,34.4,63.1,TRUNCATED,
rasalgethi,gemini,English,4888,4355,32,32,100.0,174.9,OK,
alnilam,gemini,English,4888,1081,8,32,25.0,41.3,TRUNCATED,
schedar,gemini,English,4888,1825,12,32,37.5,66.3,TRUNCATED,
gacrux,gemini,English,4888,3397,5,32,15.6,128.0,TRUNCATED,
sulafat,gemini,English,4888,5700,15,32,46.9,221.0,TRUNCATED,
algieba,gemini,English,4888,5230,20,32,62.5,203.7,TRUNCATED,
aoede,gemini,English,4888,5718,29,32,90.6,189.6,TRUNCATED,
vindemiatrix,gemini,English,4888,4761,31,32,96.9,181.6,OK,
zephyr,gemini,English,4888,2650,16,32,50.0,112.8,TRUNCATED,
puck,gemini,English,4888,2642,17,32,53.1,90.5,TRUNCATED,
fenrir,gemini,English,4888,4790,32,32,100.0,175.9,OK,
laomedeia,gemini,English,4888,4828,32,32,100.0,173.6,OK,
algenib,gemini,English,4888,4308,27,32,84.4,166.9,TRUNCATED,
kore,gemini,English,4888,2256,15,32,46.9,84.6,TRUNCATED,
leda,gemini,English,4888,4673,31,32,96.9,159.8,OK,
sadachbia,gemini,English,4888,2797,18,32,56.2,76.1,TRUNCATED,
enceladus,gemini,English,4888,2452,6,32,18.8,100.8,TRUNCATED,
despina,gemini,English,4888,2943,22,32,68.8,124.2,TRUNCATED,
achernar,gemini,English,4888,4950,31,32,96.9,155.1,OK,
orus,gemini,English,4888,3605,24,32,75.0,127.3,TRUNCATED,
autonoe,gemini,English,4888,4805,31,32,96.9,344.4,OK,
pulcherrima,gemini,English,4888,2938,7,32,21.9,2934.6,TRUNCATED,
achird,gemini,English,4888,3932,26,32,81.2,180.9,TRUNCATED,
callirrhoe,gemini,English,4888,4985,24,32,75.0,195.1,TRUNCATED,
umbriel,gemini,English,4888,5460,15,32,46.9,201.1,TRUNCATED,
zubenelgenubi,gemini,English,4888,1560,9,32,28.1,49.6,TRUNCATED,
