voice_id,engine,language,sent_chars,transcript_chars,last_checkpoint,total_checkpoints,coverage_pct,secs,status,detail
charon,gemini,English,4888,2597,17,32,53.1,145.4,TRUNCATED,
iapetus,gemini,English,4888,4894,29,32,90.6,180.6,TRUNCATED,
erinome,gemini,English,4888,2923,19,32,59.4,141.5,TRUNCATED,
sadaltager,gemini,English,4888,4799,32,32,100.0,220.5,OK,
rasalgethi,gemini,English,4888,4736,31,32,96.9,273.0,OK,
alnilam,gemini,English,4888,1202,8,32,25.0,116.2,TRUNCATED,
schedar,gemini,English,4888,2252,18,32,56.2,219.8,TRUNCATED,
gacrux,gemini,English,4888,2173,13,32,40.6,74.0,TRUNCATED,
sulafat,gemini,English,4888,4309,32,32,100.0,177.4,OK,
algieba,gemini,English,4888,4741,32,32,100.0,264.6,OK,
aoede,gemini,English,4888,2661,7,32,21.9,174.5,TRUNCATED,
vindemiatrix,gemini,English,4888,4780,32,32,100.0,126.5,OK,
zephyr,gemini,English,4888,2241,15,32,46.9,138.3,TRUNCATED,
puck,gemini,English,4888,2198,7,32,21.9,95.4,TRUNCATED,
fenrir,gemini,English,4888,2305,15,32,46.9,87.5,TRUNCATED,
laomedeia,gemini,English,4888,4429,29,32,90.6,173.4,TRUNCATED,
algenib,gemini,English,4888,4744,32,32,100.0,196.9,OK,
kore,gemini,English,4888,2254,15,32,46.9,138.1,TRUNCATED,
leda,gemini,English,4888,4795,32,32,100.0,163.6,OK,
sadachbia,gemini,English,4888,1090,8,32,25.0,118.2,TRUNCATED,
enceladus,gemini,English,4888,4819,31,32,96.9,175.9,OK,
despina,gemini,English,4888,2381,16,32,50.0,87.0,TRUNCATED,
achernar,gemini,English,4888,4393,31,32,96.9,169.5,OK,
orus,gemini,English,4888,1075,7,32,21.9,40.1,TRUNCATED,
autonoe,gemini,English,4888,2005,13,32,40.6,138.8,TRUNCATED,
pulcherrima,gemini,English,4888,1579,14,32,43.8,120.8,TRUNCATED,
achird,gemini,English,4888,3169,20,32,62.5,177.2,TRUNCATED,
callirrhoe,gemini,English,4888,1837,12,32,37.5,119.9,TRUNCATED,
umbriel,gemini,English,4888,5885,26,32,81.2,215.8,TRUNCATED,
zubenelgenubi,gemini,English,4888,395,3,32,9.4,111.1,TRUNCATED,
